ID,Category,Prompt,GreenRange,YellowRange,RedRange,SimulatedValue,Status,Action
W-001,Volume & Revenue,Weekly high-value job mix (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.0,Red,Escalate to owner agent; launch corrective playbook.
W-002,Volume & Revenue,Weekly weekly D2C revenue (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.9,Red,Escalate to owner agent; launch corrective playbook.
W-003,Volume & Revenue,Weekly subscription revenue share (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,114.1,Yellow,Investigate moderate deviation.
W-004,Volume & Revenue,Weekly average labour revenue (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.2,Green,Maintain course.
W-005,Volume & Revenue,Weekly total jobs completed (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.5,Red,Escalate to owner agent; launch corrective playbook.
W-006,Volume & Revenue,Weekly repeat bookings share (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.9,Green,Maintain course.
W-007,Volume & Revenue,Weekly subscription revenue share (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.6,Red,Escalate to owner agent; launch corrective playbook.
W-008,Volume & Revenue,Weekly average parts revenue (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,124.8,Red,Escalate to owner agent; launch corrective playbook.
W-009,Volume & Revenue,Weekly total jobs completed (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.9,Yellow,Investigate moderate deviation.
W-010,Volume & Revenue,Weekly B2B revenue contribution (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.4,Red,Escalate to owner agent; launch corrective playbook.
W-011,Volume & Revenue,Weekly B2B revenue contribution (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.4,Red,Escalate to owner agent; launch corrective playbook.
W-012,Volume & Revenue,Weekly average ticket revenue (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,127.8,Red,Escalate to owner agent; launch corrective playbook.
W-013,Volume & Revenue,Weekly total jobs completed (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.9,Green,Maintain course.
W-014,Volume & Revenue,Weekly YoY revenue delta (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.2,Green,Maintain course.
W-015,Volume & Revenue,Weekly high-value job mix (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,106.2,Green,Maintain course.
W-016,Volume & Revenue,Weekly total jobs completed (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.8,Red,Escalate to owner agent; launch corrective playbook.
W-017,Volume & Revenue,Weekly average ticket revenue (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.3,Red,Escalate to owner agent; launch corrective playbook.
W-018,Volume & Revenue,Weekly YoY revenue delta (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.3,Green,Maintain course.
W-019,Volume & Revenue,Weekly B2B revenue contribution (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,89.6,Yellow,Investigate moderate deviation.
W-020,Volume & Revenue,Weekly repeat bookings share (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,116.1,Yellow,Investigate moderate deviation.
W-021,Volume & Revenue,Weekly average parts revenue (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.7,Green,Maintain course.
W-022,Volume & Revenue,Weekly repeat bookings share (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,97.0,Green,Maintain course.
W-023,Volume & Revenue,Weekly total jobs completed (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,92.1,Green,Maintain course.
W-024,Volume & Revenue,Weekly average parts revenue (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.0,Red,Escalate to owner agent; launch corrective playbook.
W-025,Volume & Revenue,Weekly profit contribution by channel (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,130.8,Red,Escalate to owner agent; launch corrective playbook.
W-026,Volume & Revenue,Weekly high-value job mix (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.4,Red,Escalate to owner agent; launch corrective playbook.
W-027,Volume & Revenue,Weekly gross revenue growth % (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.6,Yellow,Investigate moderate deviation.
W-028,Volume & Revenue,Weekly average labour revenue (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.8,Yellow,Investigate moderate deviation.
W-029,Volume & Revenue,Weekly YoY revenue delta (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,89.0,Yellow,Investigate moderate deviation.
W-030,Volume & Revenue,Weekly gross revenue growth % (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.3,Red,Escalate to owner agent; launch corrective playbook.
W-031,Volume & Revenue,Weekly total jobs completed (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.2,Red,Escalate to owner agent; launch corrective playbook.
W-032,Volume & Revenue,Weekly gross revenue growth % (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.7,Green,Maintain course.
W-033,Volume & Revenue,Weekly average parts revenue (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.3,Green,Maintain course.
W-034,Volume & Revenue,Weekly average labour revenue (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,114.4,Yellow,Investigate moderate deviation.
W-035,Volume & Revenue,Weekly average ticket revenue (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.5,Red,Escalate to owner agent; launch corrective playbook.
W-036,Volume & Revenue,Weekly weekly D2C revenue (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.7,Red,Escalate to owner agent; launch corrective playbook.
W-037,Volume & Revenue,Weekly total jobs completed (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.8,Red,Escalate to owner agent; launch corrective playbook.
W-038,Volume & Revenue,Weekly gross revenue growth % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.6,Red,Escalate to owner agent; launch corrective playbook.
W-039,Volume & Revenue,Weekly gross revenue growth % (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.0,Red,Escalate to owner agent; launch corrective playbook.
W-040,Volume & Revenue,Weekly profit contribution by channel (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,68.9,Red,Escalate to owner agent; launch corrective playbook.
W-041,Volume & Revenue,Weekly repeat bookings share (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,66.9,Red,Escalate to owner agent; launch corrective playbook.
W-042,Profit & Cost,Weekly GP leakage % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,138.2,Red,Escalate to owner agent; launch corrective playbook.
W-043,Profit & Cost,Weekly parts cost share (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,112.8,Yellow,Investigate moderate deviation.
W-044,Profit & Cost,Weekly parts cost share (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.2,Green,Maintain course.
W-045,Profit & Cost,Weekly labor rate variance (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,134.3,Red,Escalate to owner agent; launch corrective playbook.
W-046,Profit & Cost,Weekly overtime $$ (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,91.9,Green,Maintain course.
W-047,Profit & Cost,Weekly weekly transport cost (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,132.0,Red,Escalate to owner agent; launch corrective playbook.
W-048,Profit & Cost,Weekly overtime $$ (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.1,Red,Escalate to owner agent; launch corrective playbook.
W-049,Profit & Cost,Weekly payroll-to-revenue ratio (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.1,Green,Maintain course.
W-050,Profit & Cost,Weekly payroll-to-revenue ratio (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,116.6,Yellow,Investigate moderate deviation.
W-051,Profit & Cost,Weekly gross profit per job (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.8,Red,Escalate to owner agent; launch corrective playbook.
W-052,Profit & Cost,Weekly gross profit per job (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.3,Yellow,Investigate moderate deviation.
W-053,Profit & Cost,Weekly GP leakage % (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,103.1,Green,Maintain course.
W-054,Profit & Cost,Weekly GP leakage % (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,75.2,Red,Escalate to owner agent; launch corrective playbook.
W-055,Profit & Cost,Weekly gross profit per job (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,88.3,Yellow,Investigate moderate deviation.
W-056,Profit & Cost,Weekly labor rate variance (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.1,Red,Escalate to owner agent; launch corrective playbook.
W-057,Profit & Cost,Weekly payroll-to-revenue ratio (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,118.3,Yellow,Investigate moderate deviation.
W-058,Profit & Cost,Weekly GP leakage % (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,93.8,Green,Maintain course.
W-059,Profit & Cost,Weekly EBITDA margin (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,80.0,Yellow,Investigate moderate deviation.
W-060,Profit & Cost,Weekly gross profit per job (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,124.6,Red,Escalate to owner agent; launch corrective playbook.
W-061,Profit & Cost,Weekly overtime $$ (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,92.5,Green,Maintain course.
W-062,Profit & Cost,Weekly labor rate variance (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,73.2,Red,Escalate to owner agent; launch corrective playbook.
W-063,Profit & Cost,Weekly EBITDA margin (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.7,Yellow,Investigate moderate deviation.
W-064,Profit & Cost,Weekly overtime $$ (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,106.3,Green,Maintain course.
W-065,Profit & Cost,Weekly payroll-to-revenue ratio (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,64.6,Red,Escalate to owner agent; launch corrective playbook.
W-066,Profit & Cost,Weekly parts cost share (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.6,Green,Maintain course.
W-067,Profit & Cost,Weekly overtime $$ (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,69.6,Red,Escalate to owner agent; launch corrective playbook.
W-068,Profit & Cost,Weekly weekly transport cost (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,76.3,Red,Escalate to owner agent; launch corrective playbook.
W-069,Profit & Cost,Weekly weekly transport cost (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,81.2,Yellow,Investigate moderate deviation.
W-070,Capacity & Routing,Weekly average drive minutes (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.6,Green,Maintain course.
W-071,Capacity & Routing,Weekly jobs per tech per day (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.7,Green,Maintain course.
W-072,Capacity & Routing,Weekly jobs per tech per day (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,103.0,Green,Maintain course.
W-073,Capacity & Routing,Weekly route efficiency score (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,134.7,Red,Escalate to owner agent; launch corrective playbook.
W-074,Capacity & Routing,Weekly jobs per tech per day (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,89.6,Yellow,Investigate moderate deviation.
W-075,Capacity & Routing,Weekly average drive minutes (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.7,Red,Escalate to owner agent; launch corrective playbook.
W-076,Capacity & Routing,Weekly route efficiency score (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.4,Yellow,Investigate moderate deviation.
W-077,Capacity & Routing,Weekly route efficiency score (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,135.1,Red,Escalate to owner agent; launch corrective playbook.
W-078,Capacity & Routing,Weekly route efficiency score (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,117.4,Yellow,Investigate moderate deviation.
W-079,Capacity & Routing,Weekly Sunday slot utilisation (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.4,Green,Maintain course.
W-080,Capacity & Routing,Weekly jobs per tech per day (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.3,Red,Escalate to owner agent; launch corrective playbook.
W-081,Capacity & Routing,Weekly slot-density index (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,86.7,Yellow,Investigate moderate deviation.
W-082,Capacity & Routing,Weekly tech idle ratio (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,68.9,Red,Escalate to owner agent; launch corrective playbook.
W-083,Capacity & Routing,Weekly average drive minutes (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.8,Red,Escalate to owner agent; launch corrective playbook.
W-084,Capacity & Routing,Weekly average drive minutes (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,70.2,Red,Escalate to owner agent; launch corrective playbook.
W-085,Capacity & Routing,Weekly route efficiency score (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,131.9,Red,Escalate to owner agent; launch corrective playbook.
W-086,Capacity & Routing,Weekly slot-density index (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,76.8,Red,Escalate to owner agent; launch corrective playbook.
W-087,Capacity & Routing,Weekly Sunday slot utilisation (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,88.3,Yellow,Investigate moderate deviation.
W-088,Capacity & Routing,Weekly tech idle ratio (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,134.1,Red,Escalate to owner agent; launch corrective playbook.
W-089,Capacity & Routing,Weekly Sunday slot utilisation (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,138.1,Red,Escalate to owner agent; launch corrective playbook.
W-090,Capacity & Routing,Weekly slot-density index (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,118.9,Yellow,Investigate moderate deviation.
W-091,Capacity & Routing,Weekly open capacity next 7d (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,124.2,Red,Escalate to owner agent; launch corrective playbook.
W-092,Capacity & Routing,Weekly average drive minutes (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,90.6,Green,Maintain course.
W-093,Capacity & Routing,Weekly slot-density index (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.8,Red,Escalate to owner agent; launch corrective playbook.
W-094,Capacity & Routing,Weekly overbooking factor (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,84.4,Yellow,Investigate moderate deviation.
W-095,Capacity & Routing,Weekly Sunday slot utilisation (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,61.9,Red,Escalate to owner agent; launch corrective playbook.
W-096,Capacity & Routing,Weekly Sunday slot utilisation (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,86.3,Yellow,Investigate moderate deviation.
W-097,Capacity & Routing,Weekly jobs per tech per day (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,88.1,Yellow,Investigate moderate deviation.
W-098,Customer Experience,Weekly net promoter score (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,135.1,Red,Escalate to owner agent; launch corrective playbook.
W-099,Customer Experience,Weekly D2C cancel rate (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,74.3,Red,Escalate to owner agent; launch corrective playbook.
W-100,Customer Experience,Weekly first-contact resolution (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,68.7,Red,Escalate to owner agent; launch corrective playbook.
W-101,Customer Experience,Weekly survey response rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,108.5,Green,Maintain course.
W-102,Customer Experience,Weekly D2C cancel rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,132.0,Red,Escalate to owner agent; launch corrective playbook.
W-103,Customer Experience,Weekly average IVR wait (sec) (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.6,Red,Escalate to owner agent; launch corrective playbook.
W-104,Customer Experience,Weekly net promoter score (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,101.6,Green,Maintain course.
W-105,Customer Experience,Weekly average IVR wait (sec) (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,94.5,Green,Maintain course.
W-106,Customer Experience,Weekly survey response rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.1,Yellow,Investigate moderate deviation.
W-107,Customer Experience,Weekly first-contact resolution (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,86.1,Yellow,Investigate moderate deviation.
W-108,Customer Experience,Weekly first-contact resolution (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,75.3,Red,Escalate to owner agent; launch corrective playbook.
W-109,Customer Experience,Weekly net promoter score (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,109.2,Green,Maintain course.
W-110,Customer Experience,Weekly CSAT score (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,83.0,Yellow,Investigate moderate deviation.
W-111,Customer Experience,Weekly same-day cancel GP loss (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,95.4,Green,Maintain course.
W-112,Customer Experience,Weekly average IVR wait (sec) (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,123.5,Red,Escalate to owner agent; launch corrective playbook.
W-113,Customer Experience,Weekly B2B cancel rate (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.7,Yellow,Investigate moderate deviation.
W-114,Customer Experience,Weekly survey response rate (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.5,Red,Escalate to owner agent; launch corrective playbook.
W-115,Customer Experience,Weekly average IVR wait (sec) (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.8,Red,Escalate to owner agent; launch corrective playbook.
W-116,Customer Experience,Weekly CSAT score (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,138.7,Red,Escalate to owner agent; launch corrective playbook.
W-117,Customer Experience,Weekly D2C cancel rate (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,93.2,Green,Maintain course.
W-118,Customer Experience,Weekly average IVR wait (sec) (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,99.6,Green,Maintain course.
W-119,Customer Experience,Weekly average IVR wait (sec) (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,112.5,Yellow,Investigate moderate deviation.
W-120,Customer Experience,Weekly CSAT score (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,122.3,Red,Escalate to owner agent; launch corrective playbook.
W-121,Customer Experience,Weekly same-day cancel GP loss (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.6,Green,Maintain course.
W-122,Customer Experience,Weekly B2B cancel rate (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.4,Yellow,Investigate moderate deviation.
W-123,Customer Experience,Weekly survey response rate (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,109.0,Green,Maintain course.
W-124,Customer Experience,Weekly net promoter score (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,131.8,Red,Escalate to owner agent; launch corrective playbook.
W-125,Customer Experience,Weekly first-contact resolution (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,127.2,Red,Escalate to owner agent; launch corrective playbook.
W-126,Parts Funnel,Weekly back‑order count (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,110.1,Yellow,Investigate moderate deviation.
W-127,Parts Funnel,Weekly unused parts cost (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,78.8,Red,Escalate to owner agent; launch corrective playbook.
W-128,Parts Funnel,Weekly FSSL hit-rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,131.4,Red,Escalate to owner agent; launch corrective playbook.
W-129,Parts Funnel,Weekly unused parts cost (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.1,Red,Escalate to owner agent; launch corrective playbook.
W-130,Parts Funnel,Weekly missing-parts second-trip rate (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,116.5,Yellow,Investigate moderate deviation.
W-131,Parts Funnel,Weekly unused parts cost (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,92.6,Green,Maintain course.
W-132,Parts Funnel,Weekly average parts landed cost (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.0,Red,Escalate to owner agent; launch corrective playbook.
W-133,Parts Funnel,Weekly missing-parts second-trip rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,132.4,Red,Escalate to owner agent; launch corrective playbook.
